id,first_name,last_name,age,gender,state,party,email,registered_date,last_voted_date,,,,,,,,,
VOT035,Timothy,Wright,38,M,NE,Democrat,timothy.wright@email.com,2012-09-22,2024-11-05,,,,,,,,,
VOT036,Lisa,Scott,45,F,NM,Republican,lisa.scott@email.com,2008-01-30,2024-11-05,,,,,,,,,
VOT037,Jeffrey,Torres,59,M,WV,Independent,jeffrey.torres@email.com,1999-06-15,2020-11-03,,,,,,,,,
VOT038,Brenda,Hill,34,F,ID,Democrat,brenda.hill@email.com,2015-11-20,2024-11-05,,,,,,,,,
VOT039,Gary,Flores,48,M,HI,Republican,gary.flores@email.com,2007-05-10,2024-11-05,,,,,,,,,
VOT040,Susan,Green,41,F,NH,Independent,susan.green@email.com,2010-08-28,2022-11-08,,,,,,,,,
VOT041,Jose,Adams,27,M,ME,Democrat,jose.adams@email.com,2020-04-15,2024-11-05,,,,,,,,,
VOT042,Helen,Nelson,62,F,RI,Republican,helen.nelson@email.com,1994-12-05,2024-11-05,,,,,,,,,
VOT043,Larry,Baker,37,M,MT,Independent,larry.baker@email.com,2013-03-18,2024-11-05,,,,,,,,,
VOT044,Pamela,Hall,44,F,DE,Democrat,pamela.hall@email.com,2009-09-10,2020-11-03,,,,,,,,,
VOT045,Frank,Rivera,55,M,SD,Republican,frank.rivera@email.com,2001-02-25,2024-11-05,,,,,,,,,
VOT046,Deborah,Campbell,33,F,ND,Independent,deborah.campbell@email.com,2016-06-12,2024-11-05,,,,,,,,,
VOT047,Eric,Mitchell,46,M,AK,Democrat,eric.mitchell@email.com,2008-10-20,2022-11-08,,,,,,,,,
VOT048,Teresa,Roberts,52,F,VT,Republican,teresa.roberts@email.com,2004-07-08,2024-11-05,,,,,,,,,
VOT049,Jerry,Carter,40,M,WY,Independent,jerry.carter@email.com,2012-04-30,2024-11-05,,,,,,,,,
VOT050,Gloria,Phillips,58,F,CA,Democrat,gloria.phillips@email.com,2002-01-15,2024-11-05,,,,,,,,,
VOT051,Aaron,Evans,29,M,TX,Republican,aaron.evans@email.com,2018-08-22,2020-11-03,,,,,,,,,
VOT052,Ruth,Turner,64,F,FL,Independent,ruth.turner@email.com,1992-05-10,2024-11-05,,,,,,,,,
VOT053,Douglas,Collins,35,M,NY,Democrat,douglas.collins@email.com,2014-12-03,2024-11-05,,,,,,,,,
VOT054,Virginia,Stewart,47,F,PA,Republican,virginia.stewart@email.com,2007-09-18,2022-11-08,,,,,,,,,
VOT055,Nathan,Morris,31,M,IL,Independent,nathan.morris@email.com,2017-02-28,2024-11-05,,,,,,,,,
VOT056,Katherine,Rogers,56,F,OH,Democrat,katherine.rogers@email.com,2000-06-15,2024-11-05,,,,,,,,,
VOT057,Carl,Reed,42,M,MI,Republican,carl.reed@email.com,2010-11-05,2024-11-05,,,,,,,,,
VOT058,Judith,Cook,49,F,NC,Independent,judith.cook@email.com,2006-03-20,2020-11-03,,,,,,,,,
VOT059,Jeremy,Morgan,38,M,GA,Democrat,jeremy.morgan@email.com,2012-07-12,2024-11-05,,,,,,,,,
VOT060,Diana,Bell,53,F,VA,Republican,diana.bell@email.com,2003-10-25,2024-11-05,,,,,,,,,
VOT061,Willie,Murphy,26,M,WA,Independent,willie.murphy@email.com,2020-05-15,2022-11-08,,,,,,,,,
VOT062,Joyce,Bailey,61,F,AZ,Democrat,joyce.bailey@email.com,1995-08-08,2024-11-05,,,,,,,,,
VOT063,Ralph,Cooper,45,M,MA,Republican,ralph.cooper@email.com,2008-04-18,2024-11-05,,,,,,,,,
VOT064,Marie,Richardson,37,F,TN,Independent,marie.richardson@email.com,2013-01-30,2024-11-05,,,,,,,,,
VOT065,Eugene,Cox,50,M,MO,Democrat,eugene.cox@email.com,2004-09-22,2020-11-03,,,,,,,,,
VOT066,Janet,Howard,43,F,MD,Republican,janet.howard@email.com,2009-06-10,2024-11-05,,,,,,,,,
VOT067,Russell,Ward,32,M,CO,Independent,russell.ward@email.com,2016-11-28,2024-11-05,,,,,,,,,
VOT068,Kathryn,Torres,54,F,OR,Democrat,kathryn.torres@email.com,2001-03-15,2022-11-08,,,,,,,,,
VOT069,Harold,Peterson,39,M,NV,Republican,harold.peterson@email.com,2011-12-05,2024-11-05,,,,,,,,,
VOT070,Frances,Gray,48,F,CT,Independent,frances.gray@email.com,2007-07-20,2024-11-05,,,,,,,,,
VOT071,Arthur,Ramirez,60,M,NJ,Democrat,arthur.ramirez@email.com,1998-02-10,2024-11-05,,,,,,,,,
VOT072,Christina,James,34,F,IN,Republican,christina.james@email.com,2015-09-25,2020-11-03,,,,,,,,,
VOT073,Albert,Watson,46,M,WI,Independent,albert.watson@email.com,2008-06-12,2024-11-05,,,,,,,,,
VOT074,Julie,Brooks,41,F,SC,Democrat,julie.brooks@email.com,2010-10-30,2024-11-05,,,,,,,,,
VOT075,Wayne,Kelly,28,M,AL,Republican,wayne.kelly@email.com,2019-04-15,2022-11-08,,,,,,,,,
VOT076,Rose,Sanders,55,F,LA,Independent,rose.sanders@email.com,2001-08-05,2024-11-05,,,,,,,,,
VOT077,Adam,Price,36,M,KY,Democrat,adam.price@email.com,2013-02-18,2024-11-05,,,,,,,,,
VOT078,Grace,Bennett,49,F,OK,Republican,grace.bennett@email.com,2006-11-10,2024-11-05,,,,,,,,,
VOT079,Sean,Wood,33,M,AR,Independent,sean.wood@email.com,2016-05-22,2020-11-03,,,,,,,,,
VOT080,Mildred,Barnes,62,F,IA,Democrat,mildred.barnes@email.com,1994-09-15,2024-11-05,,,,,,,,,
VOT081,Peter,Ross,44,M,MS,Republican,peter.ross@email.com,2009-01-28,2024-11-05,,,,,,,,,
VOT082,Cheryl,Henderson,51,F,UT,Independent,cheryl.henderson@email.com,2004-06-20,2022-11-08,,,,,,,,,
VOT083,Randy,Coleman,30,M,KS,Democrat,randy.coleman@email.com,2018-03-10,2024-11-05,,,,,,,,,
VOT084,Alice,Jenkins,57,F,NE,Republican,alice.jenkins@email.com,2000-12-05,2024-11-05,,,,,,,,,
VOT085,Lawrence,Perry,40,M,NM,Independent,lawrence.perry@email.com,2012-08-25,2024-11-05,,,,,,,,,
VOT086,Ann,Powell,47,F,WV,Democrat,ann.powell@email.com,2007-04-12,2020-11-03,,,,,,,,,
VOT087,Scott,Long,35,M,ID,Republican,scott.long@email.com,2014-09-30,2024-11-05,,,,,,,,,
VOT088,Emily,Patterson,52,F,HI,Independent,emily.patterson@email.com,2004-02-15,2024-11-05,,,,,,,,,
VOT089,Juan,Hughes,38,M,NH,Democrat,juan.hughes@email.com,2012-06-08,2022-11-08,,,,,,,,,
VOT090,Lois,Flores,45,F,ME,Republican,lois.flores@email.com,2008-10-20,2024-11-05,,,,,,,,,
VOT091,Philip,Washington,59,M,RI,Independent,philip.washington@email.com,1999-03-05,2024-11-05,,,,,,,,,
VOT092,Martha,Butler,31,F,MT,Democrat,martha.butler@email.com,2017-07-18,2024-11-05,,,,,,,,,
VOT093,Roy,Simmons,48,M,DE,Republican,roy.simmons@email.com,2007-01-25,2020-11-03,,,,,,,,,
VOT094,Debra,Foster,42,F,SD,Independent,debra.foster@email.com,2010-05-10,2024-11-05,,,,,,,,,
VOT095,Willie,Gonzales,27,M,ND,Democrat,willie.gonzales@email.com,2020-09-22,2024-11-05,,,,,,,,,
VOT096,Theresa,Bryant,56,F,AK,Republican,theresa.bryant@email.com,2000-04-15,2022-11-08,,,,,,,,,
VOT097,Henry,Alexander,63,M,VT,Independent,henry.alexander@email.com,1993-11-08,2024-11-05,,,,,,,,,
VOT098,Beverly,Russell,37,F,WY,Democrat,beverly.russell@email.com,2013-03-28,2024-11-05,,,,,,,,,
VOT099,Dennis,Griffin,46,M,CA,Republican,dennis.griffin@email.com,2008-07-20,2024-11-05,,,,,,,,,
VOT100,Anna,Diaz,34,F,TX,Independent,anna.diaz@email.com,2015-12-12,2020-11-03,,,,,,,,,
VOT101,Raymond,Hayes,50,M,FL,Democrat,raymond.hayes@email.com,2004-05-05,2024-11-05,,,,,,,,,
VOT102,Stephanie,Myers,41,F,NY,Republican,stephanie.myers@email.com,2010-09-18,2024-11-05,,,,,,,,,
VOT103,Joshua,Ford,29,M,PA,Independent,joshua.ford@email.com,2018-02-25,2022-11-08,,,,,,,,,
VOT104,Doris,Hamilton,58,F,IL,Democrat,doris.hamilton@email.com,2002-06-10,2024-11-05,,,,,,,,,
VOT105,Keith,Graham,43,M,OH,Republican,keith.graham@email.com,2009-11-30,2024-11-05,,,,,,,,,
VOT106,Nicole,Sullivan,32,F,MI,Independent,nicole.sullivan@email.com,2016-04-15,2024-11-05,,,,,,,,,
VOT107,Benjamin,Wallace,54,M,NC,Democrat,benjamin.wallace@email.com,2001-08-22,2020-11-03,,,,,,,,,
VOT108,Rachel,Woods,39,F,GA,Republican,rachel.woods@email.com,2011-01-10,2024-11-05,,,,,,,,,
VOT109,Gregory,Cole,47,M,VA,Independent,gregory.cole@email.com,2007-05-28,2024-11-05,,,,,,,,,
VOT110,Dorothy,West,61,F,WA,Democrat,dorothy.west@email.com,1995-10-15,2022-11-08,,,,,,,,,
VOT111,Alexander,Gordon,26,M,AZ,Republican,alexander.gordon@email.com,2020-03-05,2024-11-05,,,,,,,,,
VOT112,Samantha,Hunter,45,F,MA,Independent,samantha.hunter@email.com,2008-08-18,2024-11-05,,,,,,,,,
VOT113,Bobby,Knight,36,M,TN,Democrat,bobby.knight@email.com,2013-12-25,2024-11-05,,,,,,,,,
VOT114,Emma,Ferguson,53,F,MO,Republican,emma.ferguson@email.com,2003-04-08,2020-11-03,,,,,,,,,
VOT115,Nicholas,Rose,30,M,MD,Independent,nicholas.rose@email.com,2018-09-12,2024-11-05,,,,,,,,,
VOT116,Marilyn,Stone,48,F,CO,Democrat,marilyn.stone@email.com,2007-02-20,2024-11-05,,,,,,,,,
VOT117,Johnny,Hawkins,40,M,OR,Republican,johnny.hawkins@email.com,2012-06-30,2022-11-08,,,,,,,,,
VOT118,Olivia,Dunn,35,F,NV,Independent,olivia.dunn@email.com,2014-11-15,2024-11-05,,,,,,,,,
VOT119,Brandon,Sims,51,M,CT,Democrat,brandon.sims@email.com,2004-03-22,2024-11-05,,,,,,,,,
VOT120,Evelyn,Hudson,44,F,NJ,Republican,evelyn.hudson@email.com,2009-07-10,2024-11-05,,,,,,,,,
VOT121,Eugene,Spencer,57,M,IN,Independent,eugene.spencer@email.com,2000-12-28,2020-11-03,,,,,,,,,
VOT122,Andrea,Gardner,33,F,WI,Democrat,andrea.gardner@email.com,2016-05-05,2024-11-05,,,,,,,,,
VOT123,Louis,Stephens,49,M,SC,Republican,louis.stephens@email.com,2006-09-18,2024-11-05,,,,,,,,,
VOT124,Ashley,Payne,38,F,AL,Independent,ashley.payne@email.com,2012-02-10,2022-11-08,,,,,,,,,
VOT125,Ryan,Pierce,28,M,LA,Democrat,ryan.pierce@email.com,2019-06-25,2024-11-05,,,,,,,,,
VOT126,Madison,Berry,42,F,KY,Republican,madison.berry@email.com,2010-10-12,2024-11-05,,,,,,,,,
VOT127,Jordan,Arnold,31,M,OK,Independent,jordan.arnold@email.com,2017-03-30,2024-11-05,,,,,,,,,
VOT128,Abigail,Reynolds,55,F,AR,Democrat,abigail.reynolds@email.com,2001-07-15,2020-11-03,,,,,,,,,
VOT129,Austin,Ellis,46,M,IA,Republican,austin.ellis@email.com,2008-11-22,2024-11-05,,,,,,,,,
VOT130,Victoria,Harrison,37,F,MS,Independent,victoria.harrison@email.com,2013-04-08,2024-11-05,,,,,,,,,
VOT131,Jacob,Gibson,52,M,UT,Democrat,jacob.gibson@email.com,2004-08-20,2022-11-08,,,,,,,,,
VOT132,Sophia,McDonald,29,F,KS,Republican,sophia.mcdonald@email.com,2018-01-12,2024-11-05,,,,,,,,,
VOT133,Ethan,Cruz,60,M,NE,Independent,ethan.cruz@email.com,1998-05-30,2024-11-05,,,,,,,,,
VOT134,Isabella,Marshall,43,F,NM,Democrat,isabella.marshall@email.com,2009-10-15,2024-11-05,,,,,,,,,
VOT135,Mason,Owens,34,M,WV,Republican,mason.owens@email.com,2015-02-25,2020-11-03,,,,,,,,,
VOT136,Mia,Johnston,48,F,ID,Independent,mia.johnston@email.com,2007-06-18,2024-11-05,,,,,,,,,
VOT137,Noah,Murray,41,M,HI,Democrat,noah.murray@email.com,2010-11-05,2024-11-05,,,,,,,,,
VOT138,Charlotte,Freeman,56,F,NH,Republican,charlotte.freeman@email.com,2000-03-20,2022-11-08,,,,,,,,,
VOT139,Liam,Wells,27,M,ME,Independent,liam.wells@email.com,2020-07-10,2024-11-05,,,,,,,,,
VOT140,Amelia,Webb,62,F,RI,Democrat,amelia.webb@email.com,1994-12-22,2024-11-05,,,,,,,,,
VOT1401,Willie,Henry,41,M,OK,Republican,willie.henry@email.com,2010-04-02,2020-11-03,,,,,,,,,
VOT1402,Katherine,Boyd,35,F,AR,Independent,katherine.boyd@email.com,2014-08-15,2024-11-05,,,,,,,,,
VOT1403,Terry,Mason,56,M,IA,Democrat,terry.mason@email.com,2000-12-28,2024-11-05,,,,,,,,,
VOT1404,Amy,Morales,28,F,MS,Republican,amy.morales@email.com,2019-05-10,2022-11-08,,,,,,,,,
VOT1405,Harold,Kennedy,47,M,UT,Independent,harold.kennedy@email.com,2007-09-22,2024-11-05,,,,,,,,,
VOT1406,Christine,Warren,43,F,KS,Democrat,christine.warren@email.com,2009-02-05,2024-11-05,,,,,,,,,
VOT1407,Gerald,Dixon,38,M,NE,Republican,gerald.dixon@email.com,2012-06-18,2024-11-05,,,,,,,,,
VOT1408,Debra,Ramos,59,F,NM,Independent,debra.ramos@email.com,1999-10-30,2020-11-03,,,,,,,,,
VOT1409,Arthur,Reyes,33,M,WV,Democrat,arthur.reyes@email.com,2016-03-15,2024-11-05,,,,,,,,,
VOT141,Oliver,Simpson,38,M,MT,Republican,oliver.simpson@email.com,2012-04-15,2024-11-05,,,,,,,,,
VOT1410,Jean,Burns,50,F,ID,Republican,jean.burns@email.com,2004-07-25,2024-11-05,,,,,,,,,
VOT1411,Bryan,Gordon,44,M,HI,Independent,bryan.gordon@email.com,2009-12-08,2022-11-08,,,,,,,,,
VOT1412,Kathryn,Shaw,30,F,NH,Democrat,kathryn.shaw@email.com,2018-04-20,2024-11-05,,,,,,,,,
VOT1413,Austin,Holmes,52,M,ME,Republican,austin.holmes@email.com,2004-08-05,2024-11-05,,,,,,,,,
VOT1414,Denise,Rice,40,F,RI,Independent,denise.rice@email.com,2012-01-18,2024-11-05,,,,,,,,,
VOT1415,Willie,Robertson,36,M,MT,Democrat,willie.robertson@email.com,2013-05-30,2020-11-03,,,,,,,,,
VOT1416,Rachel,Hunt,49,F,DE,Republican,rachel.hunt@email.com,2006-10-12,2024-11-05,,,,,,,,,
VOT1417,Aaron,Black,61,M,SD,Independent,aaron.black@email.com,1995-02-25,2024-11-05,,,,,,,,,
VOT1418,Judy,Daniels,34,F,ND,Democrat,judy.daniels@email.com,2015-07-08,2022-11-08,,,,,,,,,
VOT1419,Jonathan,Palmer,46,M,AK,Republican,jonathan.palmer@email.com,2008-11-20,2024-11-05,,,,,,,,,
VOT142,Harper,Stevens,45,F,DE,Independent,harper.stevens@email.com,2008-08-30,2020-11-03,,,,,,,,,
VOT1420,Carolyn,Mills,42,F,VT,Independent,carolyn.mills@email.com,2010-04-02,2024-11-05,,,,,,,,,
VOT1421,Eugene,Nichols,37,M,WY,Democrat,eugene.nichols@email.com,2013-08-15,2024-11-05,,,,,,,,,
VOT1422,Sara,Grant,55,F,CA,Republican,sara.grant@email.com,2001-12-28,2020-11-03,,,,,,,,,
VOT1423,Arthur,Knight,31,M,TX,Independent,arthur.knight@email.com,2017-05-10,2024-11-05,,,,,,,,,
VOT1424,Madison,Ferguson,45,F,FL,Democrat,madison.ferguson@email.com,2008-09-22,2024-11-05,,,,,,,,,
VOT1425,Gabriel,Rose,39,M,NY,Republican,gabriel.rose@email.com,2011-02-05,2022-11-08,,,,,,,,,
VOT1426,Samantha,Stone,53,F,PA,Independent,samantha.stone@email.com,2003-06-18,2024-11-05,,,,,,,,,
VOT1427,Albert,Hawkins,48,M,IL,Democrat,albert.hawkins@email.com,2007-10-30,2024-11-05,,,,,,,,,
VOT1428,Patricia,Dunn,32,F,OH,Republican,patricia.dunn@email.com,2016-03-15,2024-11-05,,,,,,,,,
VOT1429,Terry,Sims,44,M,MI,Independent,terry.sims@email.com,2009-07-25,2020-11-03,,,,,,,,,
VOT143,Elijah,Tucker,33,M,SD,Democrat,elijah.tucker@email.com,2016-01-18,2024-11-05,,,,,,,,,
VOT1430,Amy,Hudson,60,F,NC,Democrat,amy.hudson@email.com,1998-12-08,2024-11-05,,,,,,,,,
VOT1431,Willie,Spencer,38,M,GA,Republican,willie.spencer@email.com,2012-04-20,2024-11-05,,,,,,,,,
VOT1432,Diana,Gardner,45,F,VA,Independent,diana.gardner@email.com,2008-08-05,2022-11-08,,,,,,,,,
VOT1433,Gerald,Stephens,29,M,WA,Democrat,gerald.stephens@email.com,2018-01-18,2024-11-05,,,,,,,,,
VOT1434,Kelly,Payne,51,F,AZ,Republican,kelly.payne@email.com,2004-05-30,2024-11-05,,,,,,,,,
VOT1435,Peter,Pierce,43,M,MA,Independent,peter.pierce@email.com,2009-10-12,2024-11-05,,,,,,,,,
VOT1436,Frances,Berry,36,F,TN,Democrat,frances.berry@email.com,2013-02-25,2020-11-03,,,,,,,,,
VOT1437,Harold,Arnold,57,M,MO,Republican,harold.arnold@email.com,2000-07-08,2024-11-05,,,,,,,,,
VOT1438,Judith,Reynolds,40,F,MD,Independent,judith.reynolds@email.com,2012-11-20,2024-11-05,,,,,,,,,
VOT1439,Benjamin,Ellis,35,M,CO,Democrat,benjamin.ellis@email.com,2014-04-02,2022-11-08,,,,,,,,,
VOT144,Ava,Porter,50,F,ND,Republican,ava.porter@email.com,2004-05-25,2024-11-05,,,,,,,,,
VOT1440,Lauren,Harrison,54,F,OR,Republican,lauren.harrison@email.com,2001-08-15,2024-11-05,,,,,,,,,
VOT1441,Keith,Gibson,44,M,NV,Independent,keith.gibson@email.com,2009-12-28,2024-11-05,,,,,,,,,
VOT1442,Julie,McDonald,31,F,CT,Democrat,julie.mcdonald@email.com,2017-05-10,2024-11-05,,,,,,,,,
VOT1443,Carl,Cruz,46,M,NJ,Republican,carl.cruz@email.com,2008-09-22,2020-11-03,,,,,,,,,
VOT1444,Teresa,Marshall,41,F,IN,Independent,teresa.marshall@email.com,2010-02-05,2024-11-05,,,,,,,,,
VOT1445,Lawrence,Owens,37,M,WI,Democrat,lawrence.owens@email.com,2013-06-18,2024-11-05,,,,,,,,,
VOT1446,Gloria,Johnston,50,F,SC,Republican,gloria.johnston@email.com,2004-10-30,2022-11-08,,,,,,,,,
VOT1447,Ralph,Murray,33,M,AL,Independent,ralph.murray@email.com,2016-03-15,2024-11-05,,,,,,,,,
VOT1448,Alice,Freeman,48,F,LA,Democrat,alice.freeman@email.com,2007-07-25,2024-11-05,,,,,,,,,
VOT1449,Juan,Wells,42,M,KY,Republican,juan.wells@email.com,2010-12-08,2024-11-05,,,,,,,,,
VOT145,Lucas,Hunter,39,M,AK,Independent,lucas.hunter@email.com,2011-09-12,2022-11-08,,,,,,,,,
VOT1450,Donna,Webb,55,F,OK,Independent,donna.webb@email.com,2001-04-20,2020-11-03,,,,,,,,,
VOT1451,Ryan,Simpson,39,M,AR,Democrat,ryan.simpson@email.com,2011-08-05,2024-11-05,,,,,,,,,
VOT1452,Brenda,Stevens,28,F,IA,Republican,brenda.stevens@email.com,2019-01-18,2024-11-05,,,,,,,,,
VOT1453,Scott,Tucker,47,M,MS,Independent,scott.tucker@email.com,2007-05-30,2022-11-08,,,,,,,,,
VOT1454,Barbara,Porter,44,F,UT,Democrat,barbara.porter@email.com,2009-10-12,2024-11-05,,,,,,,,,
VOT1455,Wayne,Hunter,36,M,KS,Republican,wayne.hunter@email.com,2013-02-25,2024-11-05,,,,,,,,,
VOT1456,Nancy,Hicks,60,F,NE,Independent,nancy.hicks@email.com,1998-07-08,2024-11-05,,,,,,,,,
VOT1457,Jerry,Crawford,43,M,NM,Democrat,jerry.crawford@email.com,2009-11-20,2020-11-03,,,,,,,,,
VOT1458,Helen,Henry,38,F,WV,Republican,helen.henry@email.com,2012-04-02,2024-11-05,,,,,,,,,
VOT1459,Eugene,Boyd,52,M,ID,Independent,eugene.boyd@email.com,2004-08-15,2024-11-05,,,,,,,,,
VOT146,Luna,Hicks,47,F,VT,Democrat,luna.hicks@email.com,2007-02-05,2024-11-05,,,,,,,,,
VOT1460,Mary,Mason,30,F,HI,Democrat,mary.mason@email.com,2018-12-28,2022-11-08,,,,,,,,,
VOT1461,Douglas,Morales,49,M,NH,Republican,douglas.morales@email.com,2006-05-10,2024-11-05,,,,,,,,,
VOT1462,Linda,Kennedy,45,F,ME,Independent,linda.kennedy@email.com,2008-09-22,2024-11-05,,,,,,,,,
VOT1463,Randy,Warren,34,M,RI,Democrat,randy.warren@email.com,2015-02-05,2024-11-05,,,,,,,,,
VOT1464,Sarah,Dixon,56,F,MT,Republican,sarah.dixon@email.com,2000-06-18,2020-11-03,,,,,,,,,
VOT1465,Howard,Ramos,41,M,DE,Independent,howard.ramos@email.com,2010-10-30,2024-11-05,,,,,,,,,
VOT1466,Betty,Reyes,37,F,SD,Democrat,betty.reyes@email.com,2013-03-15,2024-11-05,,,,,,,,,
VOT1467,Billy,Burns,48,M,ND,Republican,billy.burns@email.com,2007-07-25,2022-11-08,,,,,,,,,
VOT1468,Christine,Gordon,35,F,AK,Independent,christine.gordon@email.com,2014-12-08,2024-11-05,,,,,,,,,
VOT1469,Ronald,Shaw,58,M,VT,Democrat,ronald.shaw@email.com,2002-04-20,2024-11-05,,,,,,,,,
VOT147,Henry,Crawford,54,M,WY,Republican,henry.crawford@email.com,2001-06-20,2024-11-05,,,,,,,,,
VOT1470,Jessica,Holmes,42,F,WY,Republican,jessica.holmes@email.com,2010-08-05,2024-11-05,,,,,,,,,
VOT1471,Kenneth,Rice,31,M,CA,Independent,kenneth.rice@email.com,2017-01-18,2020-11-03,,,,,,,,,
VOT1472,Maria,Robertson,54,F,TX,Democrat,maria.robertson@email.com,2001-05-30,2024-11-05,,,,,,,,,
VOT1473,Donald,Hunt,46,M,FL,Republican,donald.hunt@email.com,2008-10-12,2024-11-05,,,,,,,,,
VOT1474,Sharon,Black,33,F,NY,Independent,sharon.black@email.com,2016-02-25,2022-11-08,,,,,,,,,
VOT1475,Frank,Daniels,51,M,PA,Democrat,frank.daniels@email.com,2004-07-08,2024-11-05,,,,,,,,,
VOT1476,Carol,Palmer,39,F,IL,Republican,carol.palmer@email.com,2011-11-20,2024-11-05,,,,,,,,,
VOT1477,Larry,Mills,44,M,OH,Independent,larry.mills@email.com,2009-04-02,2024-11-05,,,,,,,,,
VOT1478,Sandra,Nichols,59,F,MI,Democrat,sandra.nichols@email.com,1999-08-15,2020-11-03,,,,,,,,,
VOT1479,Edward,Grant,36,M,NC,Republican,edward.grant@email.com,2013-12-28,2024-11-05,,,,,,,,,
VOT148,Chloe,Henry,31,F,CA,Independent,chloe.henry@email.com,2017-10-28,2024-11-05,,,,,,,,,
VOT1480,Laura,Knight,47,F,GA,Independent,laura.knight@email.com,2007-05-10,2024-11-05,,,,,,,,,
VOT1481,Mark,Ferguson,40,M,VA,Democrat,mark.ferguson@email.com,2012-09-22,2022-11-08,,,,,,,,,
VOT1482,Joyce,Rose,32,F,WA,Republican,joyce.rose@email.com,2016-02-05,2024-11-05,,,,,,,,,
VOT1483,Raymond,Stone,53,M,AZ,Independent,raymond.stone@email.com,2003-06-18,2024-11-05,,,,,,,,,
